,plate,well_id,total_nr_cells,infected,non-infected,%_inf_cells
0,Plate02,B3,2127,587,1540,27.6
1,Plate02,B4,2337,515,1822,22.04
2,Plate02,B5,2835,783,2052,27.62
3,Plate02,B6,2088,570,1518,27.3
4,Plate02,B7,2690,811,1879,30.15
5,Plate02,B8,2028,505,1523,24.9
6,Plate02,B9,2116,449,1667,21.22
7,Plate02,B10,2438,479,1959,19.65
8,Plate02,B11,1776,413,1363,23.25
9,Plate02,B12,1359,271,1088,19.94
10,Plate02,C1,2316,401,1915,17.31
11,Plate02,C2,2641,516,2125,19.54
12,Plate02,C3,2554,623,1931,24.39
13,Plate02,C4,2362,545,1817,23.07
14,Plate02,C5,2346,610,1736,26.0
15,Plate02,C6,2882,702,2180,24.36
16,Plate02,C7,2826,756,2070,26.75
17,Plate02,C8,2336,544,1792,23.29
18,Plate02,C9,1755,375,1380,21.37
19,Plate02,C10,1794,393,1401,21.91
20,Plate02,C11,1457,363,1094,24.91
21,Plate02,C12,1058,226,832,21.36
22,Plate02,D1,2457,567,1890,23.08
23,Plate02,D2,2682,623,2059,23.23
24,Plate02,D3,1963,505,1458,25.73
25,Plate02,D4,2742,785,1957,28.63
26,Plate02,D5,2195,606,1589,27.61
27,Plate02,D6,2497,646,1851,25.87
28,Plate02,D7,1972,599,1373,30.38
29,Plate02,D8,2763,587,2176,21.25
30,Plate02,D9,2160,531,1629,24.58
31,Plate02,D10,1379,325,1054,23.57
32,Plate02,D11,1316,249,1067,18.92
33,Plate02,D12,1572,331,1241,21.06
34,Plate02,E1,1840,365,1475,19.84
35,Plate02,E2,1935,401,1534,20.72
36,Plate02,E3,1828,405,1423,22.16
37,Plate02,E4,2313,614,1699,26.55
38,Plate02,E5,1804,520,1284,28.82
39,Plate02,E6,1891,460,1431,24.33
40,Plate02,E7,1742,448,1294,25.72
41,Plate02,E8,1733,418,1315,24.12
42,Plate02,E9,1879,368,1511,19.58
43,Plate02,E10,2227,406,1821,18.23
44,Plate02,E11,1730,380,1350,21.97
45,Plate02,E12,1678,390,1288,23.24
46,Plate02,F1,2048,458,1590,22.36
47,Plate02,F2,1533,454,1079,29.62
48,Plate02,F3,2957,665,2292,22.49
49,Plate02,F4,1876,408,1468,21.75
50,Plate02,F5,2165,573,1592,26.47
51,Plate02,F6,1617,394,1223,24.37
52,Plate02,F7,1991,623,1368,31.29
53,Plate02,F8,2018,482,1536,23.89
54,Plate02,F9,1484,347,1137,23.38
55,Plate02,F10,2168,396,1772,18.27
56,Plate02,F11,1879,420,1459,22.35
57,Plate02,F12,1234,283,951,22.93
58,Plate02,G1,1362,320,1042,23.49
59,Plate02,G2,1963,535,1428,27.25
60,Plate02,G3,2910,659,2251,22.65
61,Plate02,G4,2512,610,1902,24.28
62,Plate02,G5,2757,666,2091,24.16
63,Plate02,G6,2298,623,1675,27.11
64,Plate02,G7,2298,743,1555,32.33
65,Plate02,G8,1918,537,1381,28.0
66,Plate02,G9,2047,530,1517,25.89
67,Plate02,G10,2217,470,1747,21.2
68,Plate02,G11,2012,446,1566,22.17
69,Plate02,G12,1358,281,1077,20.69
70,Plate02,H1,2035,6,2029,0.29
71,Plate02,H2,2246,602,1644,26.8
72,Plate02,H3,2777,692,2085,24.92
73,Plate02,H4,2420,480,1940,19.83
74,Plate02,H5,2841,618,2223,21.75
75,Plate02,H6,2405,534,1871,22.2
76,Plate02,H7,2426,747,1679,30.79
77,Plate02,H8,2498,583,1915,23.34
78,Plate02,H9,2332,569,1763,24.4
79,Plate02,H10,2478,559,1919,22.56
80,Plate02,H11,2149,588,1561,27.36
81,Plate02,H12,2047,468,1579,22.86
82,Plate02,A1,2142,415,1727,19.37
83,Plate02,A2,2466,414,2052,16.79
84,Plate02,A3,2785,559,2226,20.07
85,Plate02,A4,2795,489,2306,17.5
86,Plate02,A5,2320,383,1937,16.51
87,Plate02,A6,2791,591,2200,21.18
88,Plate02,A7,2665,614,2051,23.04
89,Plate02,A8,1772,356,1416,20.09
90,Plate02,A9,1761,395,1366,22.43
91,Plate02,A10,2681,520,2161,19.4
92,Plate02,A11,1660,374,1286,22.53
93,Plate02,A12,1291,289,1002,22.39
94,Plate02,B1,1886,441,1445,23.38
95,Plate02,B2,3226,724,2502,22.44
